Violet,Blue,Green,Yellow,Orange,Red,Label
623.2254753,660.9748341,2766.697704,4157.942288,4598.530394,4958.3265,1
691.5013994,614.9774621,2586.928227,4089.56469,4447.71092,4935.420153,0
604.7534194,699.1914843,2562.029245,4082.209187,4473.815163,5002.415948,0
602.7993295,560.0262642,2778.119242,3926.331528,4466.199281,4868.326627,1
624.6642124,631.4349185,2734.260355,4056.564714,4765.974967,4602.978386,0
641.6765702,592.04393,2679.430095,3910.942457,4331.843252,4726.017754,0
609.837853,575.5066939,2611.34914,3911.928487,4654.620477,4948.938952,0
617.406086,559.3227914,2621.997826,4038.918878,4401.33715,5108.684923,0
659.7940369,553.4520306,2769.827931,4035.883835,4329.013088,4574.388564,0
699.8425292,679.9491106,2684.561739,3908.083345,4461.261318,4824.643364,0
609.9017233,635.6482216,2597.762528,4035.147701,4588.921898,4552.391015,0
605.7342669,595.1434653,2656.516375,4068.564071,4420.777385,5138.904114,0
682.573427,616.6818826,2794.618769,4073.480268,4417.211748,5067.41331,1
645.1274165,587.4953754,2786.63126,3942.795104,4556.281692,5180.347596,1
664.8320621,642.2006505,2640.895112,4073.334209,4755.656614,4763.354198,0
622.8764773,613.5287307,2582.078866,4033.369753,4613.757523,4874.248877,0
638.544216,681.0175149,2590.10462,4020.008915,4558.861757,4543.2773,0
623.1367221,567.7728987,2529.634011,4167.082637,4316.694539,5087.324494,0
650.7266725,567.0574662,2647.133697,4079.832516,4345.108067,5184.756824,0
665.3018773,619.169819,2759.127433,3978.848722,4711.981471,4730.282714,0
694.1300531,586.6162107,2787.13305,4053.247489,4582.28993,5195.601292,1
677.098394,597.0702881,2517.361787,3913.222138,4706.471985,4788.451294,0
638.4163169,628.4689799,2767.64469,4021.776192,4602.194448,4566.36249,0
633.5981278,571.7262758,2573.464159,4013.691498,4435.159806,4650.91951,0
663.3731111,669.9573355,2562.554208,4168.876858,4672.854735,4875.470065,0
696.9965194,634.7324755,2565.30697,4157.328986,4730.999659,4719.311536,0
632.6984211,676.0020106,2647.759836,3915.570745,4689.009184,4798.67067,0
627.9961881,600.0262018,2610.081986,4138.437723,4319.345393,5008.668535,0
687.2684459,592.8722174,2697.054778,3969.565988,4610.976971,4552.586637,0
696.6755875,641.4954935,2615.114554,3909.170932,4728.782793,4922.48023,0
684.7840405,625.692437,2502.373251,4175.721953,4505.352398,5012.656023,0
615.1105279,672.2849915,2772.88076,4133.382738,4678.561568,4783.638266,0
670.190108,634.8191406,2675.420906,4003.47438,4652.11662,4612.604575,0
600.1513933,634.3001278,2663.945237,4065.248329,4647.26838,5149.245864,0
694.4210309,685.4894994,2681.231886,4177.862927,4358.473129,4738.561056,0
603.6730444,630.7554776,2721.16864,3954.366751,4513.123331,4568.71757,0
630.3221567,667.0183918,2661.088125,4130.72143,4619.471823,5125.203772,0
606.0690387,576.3657319,2624.899558,4121.937552,4746.477396,4518.097315,0
613.7563028,613.6131149,2729.370035,4057.331156,4677.240679,4618.85891,0
667.2727006,642.7979114,2502.053827,4122.067657,4795.867739,4589.72695,0
636.058276,578.6609898,2714.319298,3953.360103,4793.424375,4511.899391,0
603.979647,670.6495798,2757.937686,4069.875758,4677.05634,4863.660336,1
658.5904472,578.6099539,2651.032439,3915.27439,4328.047872,4734.63818,0
663.0904757,683.7966723,2702.018988,4105.580112,4647.872397,5059.882003,1
666.0605167,627.9904893,2599.520923,4180.251814,4423.238474,4857.84446,0
674.0317886,588.1252799,2753.675428,4061.446327,4755.068067,4745.494487,0
693.5324883,689.1579189,2676.310108,3930.52864,4483.43797,4693.091874,0
626.6097501,583.9807974,2500.396234,4167.902211,4526.748754,4904.894704,0
631.5605539,699.1025313,2795.167865,4189.364367,4633.13262,5008.310723,1
633.4042555,628.415915,2582.00631,4115.513709,4689.008778,4556.744954,0
622.158014,580.5939241,2687.229792,4117.561535,4717.182094,4513.226767,0
620.2117632,620.3639443,2613.518554,4002.11812,4331.925592,5032.935154,0
640.2662086,651.1434574,2665.322698,3915.43715,4453.747969,5175.811337,0
693.147515,606.704009,2685.301058,4068.760017,4715.280355,5170.389117,0
607.5505653,683.2036595,2668.734187,3958.306538,4410.726395,4994.034135,0
659.6761436,637.944411,2790.548244,4074.523028,4349.900146,4616.621975,0
610.2093795,571.9370657,2701.46943,4091.955955,4486.217726,4614.011076,0
638.9518808,669.996485,2619.93811,4126.535725,4447.605206,4948.004137,0
688.5117154,581.4464984,2644.106946,3933.896268,4366.18482,4544.80158,0
607.9297395,644.0431246,2623.40019,4091.576906,4728.278481,5034.502523,0
697.6160296,667.2305868,2780.674961,4121.74565,4426.809884,5003.475199,1
669.3512616,665.9978426,2724.165126,3995.5151,4555.215479,5041.146534,1
657.2815526,693.0775503,2551.471691,4172.170529,4676.109711,4700.322662,0
662.7410343,619.4241885,2538.831774,4064.815399,4784.754662,4809.498343,0
659.096393,566.6455371,2559.955687,3948.889231,4318.438714,4690.907265,0
623.013359,603.7817033,2540.30281,4199.578379,4556.760427,4771.492413,0
624.9852758,604.712864,2619.717262,4177.890228,4547.736465,4926.430903,0
600.4808464,638.1593147,2733.238727,4097.154955,4564.157347,5078.041213,1
696.2433769,597.0604685,2739.125517,3985.552739,4307.447438,4565.904828,0
632.8723021,595.8349483,2505.40664,3948.662223,4521.994732,5036.739021,0
668.1255935,657.1805092,2637.934263,4175.780522,4794.47171,5152.820781,0
646.1523347,685.7383254,2615.935496,4080.904966,4580.159504,5092.087829,0
628.4804955,649.4977747,2680.677453,4096.938884,4454.967043,4732.150665,0
618.8197329,565.1025111,2585.969186,4006.447866,4567.880849,5193.583085,0
602.8178083,656.4298023,2771.547105,4159.748814,4359.584661,5168.692641,1
644.0900791,681.3640326,2759.485493,4006.545173,4615.573224,5105.184475,1
602.0991735,561.5230382,2613.014328,3944.758099,4317.048448,5047.574795,0
632.7245076,672.6214495,2552.085715,4102.83532,4737.80024,5030.008831,0
622.9625715,603.8415429,2608.949228,3980.232933,4468.651381,4560.872454,0
645.1559652,618.1996042,2508.710653,4091.130562,4329.729393,4618.43728,0
668.4679742,633.1850969,2501.81075,3986.425546,4488.305782,4602.545123,0
607.4533615,619.1114314,2611.118314,4147.367256,4568.767828,5072.261258,0
646.0380827,552.1050722,2501.494962,3949.868035,4482.969419,5002.747334,0
615.9423637,591.8157206,2693.481534,3986.161245,4460.965446,4608.791756,0
638.7663141,684.3599701,2766.33006,4018.083998,4637.728871,4676.549936,0
694.9987708,643.702326,2562.084382,3932.896548,4582.924805,4692.033377,0
607.116526,573.767395,2514.856089,4104.265124,4690.877906,5065.155637,0
626.5053593,684.3849096,2682.395826,3904.320252,4472.014374,4873.565315,0
662.7762577,617.0105951,2743.331693,3943.448397,4787.414688,5083.632046,1
634.0101161,642.4358599,2591.126851,3926.76563,4560.762902,5077.704073,0
676.3926622,692.1458962,2600.064182,4016.921515,4375.20644,4733.593094,0
655.3678828,632.5440917,2548.126313,3935.126841,4499.275217,5081.968103,0
618.5001205,625.1178636,2537.894344,4159.388536,4683.322844,4895.047475,0
638.9569372,623.5206495,2766.071229,4171.514484,4549.194478,4870.458865,1
690.9700719,636.789767,2732.735531,4098.418389,4534.828619,4653.837334,0
660.2589739,577.6388495,2559.252915,4158.597644,4362.824626,4951.906179,0
643.731821,641.8907601,2721.244724,3990.983834,4321.483857,5084.855271,1
636.930818,649.200896,2768.715975,3982.22972,4798.949239,5084.047367,1
679.1343687,648.4919062,2663.101906,4016.004399,4711.116044,4916.73416,0
678.1641321,698.1511834,2736.47614,4155.876266,4542.806415,5111.629251,1
633.3847083,580.7975168,2648.30712,3909.362688,4713.787207,4684.980206,0
667.7499332,669.0796504,2704.553159,4095.227771,4418.670864,4834.182435,1
693.6419265,586.1655267,2562.734164,3981.741608,4687.90871,4731.98799,0
660.3074701,577.6022296,2526.237655,3992.674614,4415.439202,5136.430936,0
